y_over_delta,u,u_over_ubulk
7.2999999999999998e-01,1.0759433314785529e+00,1.0775702655616299e+00
7.3250000000000004e-01,1.0762010683605361e+00,1.0778283921675935e+00
7.3499999999999999e-01,1.0764581348746809e+00,1.0780858473920554e+00
7.3750000000000004e-01,1.0767152013888259e+00,1.0783433026165175e+00
7.3999999999999999e-01,1.0769722679029705e+00,1.0786007578409791e+00
7.4250000000000005e-01,1.0772214028854337e+00,1.0788502695404889e+00
7.4500000000000000e-01,1.0774671982756101e+00,1.0790964365979141e+00
7.4750000000000005e-01,1.0777129936657861e+00,1.0793426036553386e+00
7.5000000000000000e-01,1.0779587890559621e+00,1.0795887707127634e+00
7.5250000000000006e-01,1.0781996492911925e+00,1.0798299951527939e+00
7.5500000000000000e-01,1.0784349644085065e+00,1.0800656660901342e+00
7.5750000000000006e-01,1.0786702795258201e+00,1.0803013370274743e+00
7.6000000000000001e-01,1.0789055946431341e+00,1.0805370079648147e+00
7.6250000000000007e-01,1.0791385476261133e+00,1.0807703131960367e+00
7.6500000000000001e-01,1.0793639417792213e+00,1.0809960481676795e+00
7.6750000000000007e-01,1.0795893359323294e+00,1.0812217831393225e+00
7.7000000000000002e-01,1.0798147300854375e+00,1.0814475181109653e+00
7.7249999999999996e-01,1.0800400721962657e+00,1.0816732009616352e+00
7.7500000000000002e-01,1.0802556303584425e+00,1.0818890850693434e+00
7.7749999999999997e-01,1.0804711885206197e+00,1.0821049691770521e+00
7.8000000000000003e-01,1.0806867466827967e+00,1.0823208532847606e+00
7.8249999999999997e-01,1.0809023048449737e+00,1.0825367373924688e+00
7.8500000000000003e-01,1.0811102468792009e+00,1.0827449938558791e+00
7.8749999999999998e-01,1.0813159458072512e+00,1.0829510038213113e+00
7.9000000000000004e-01,1.0815216447353015e+00,1.0831570137867437e+00
7.9249999999999998e-01,1.0817273436633514e+00,1.0833630237521754e+00
7.9500000000000004e-01,1.0819274149894713e+00,1.0835633976061794e+00
7.9749999999999999e-01,1.0821226863021798e+00,1.0837589641886709e+00
8.0000000000000004e-01,1.0823179576148880e+00,1.0839545307711622e+00
8.0249999999999999e-01,1.0825132289275965e+00,1.0841500973536538e+00
8.0500000000000005e-01,1.0827050513097587e+00,1.0843422097904707e+00
8.0750000000000000e-01,1.0828890838660317e+00,1.0845265206224013e+00
8.1000000000000005e-01,1.0830731164223044e+00,1.0847108314543317e+00
8.1250000000000000e-01,1.0832571489785776e+00,1.0848951422862627e+00
8.1500000000000006e-01,1.0834404212066389e+00,1.0850786916402893e+00
8.1750000000000000e-01,1.0836141893320548e+00,1.0852527225205153e+00
8.2000000000000006e-01,1.0837879574574707e+00,1.0854267534007414e+00
8.2250000000000001e-01,1.0839617255828862e+00,1.0856007842809670e+00
8.2500000000000007e-01,1.0841354937083021e+00,1.0857748151611930e+00
8.2750000000000001e-01,1.0843010522460133e+00,1.0859406240399954e+00
8.3000000000000007e-01,1.0844650618049121e+00,1.0861048815977743e+00
8.3250000000000002e-01,1.0846290713638109e+00,1.0862691391555535e+00
8.3499999999999996e-01,1.0847930809227098e+00,1.0864333967133324e+00
8.3750000000000002e-01,1.0849511605778570e+00,1.0865917154007514e+00
8.3999999999999997e-01,1.0851054244688512e+00,1.0867462125541998e+00
8.4250000000000003e-01,1.0852596883598453e+00,1.0869007097076480e+00
8.4499999999999997e-01,1.0854139522508395e+00,1.0870552068610964e+00
8.4750000000000003e-01,1.0855645054681933e+00,1.0872059877299942e+00
8.4999999999999998e-01,1.0857088916504831e+00,1.0873505922386533e+00
8.5250000000000004e-01,1.0858532778327727e+00,1.0874951967473121e+00
8.5499999999999998e-01,1.0859976640150626e+00,1.0876398012559712e+00
8.5750000000000004e-01,1.0861405310950634e+00,1.0877828843653063e+00
8.5999999999999999e-01,1.0862742835613313e+00,1.0879168390787000e+00
8.6250000000000004e-01,1.0864080360275992e+00,1.0880507937920934e+00
8.6499999999999999e-01,1.0865417884938673e+00,1.0881847485054872e+00
8.6750000000000005e-01,1.0866755409601352e+00,1.0883187032188806e+00
8.7000000000000000e-01,1.0867993852465148e+00,1.0884427347702252e+00
8.7250000000000005e-01,1.0869222502360447e+00,1.0885657855439255e+00
8.7500000000000000e-01,1.0870451152255751e+00,1.0886888363176261e+00
8.7750000000000006e-01,1.0871679802151051e+00,1.0888118870913264e+00
8.8000000000000000e-01,1.0872840914061082e+00,1.0889281738540799e+00
8.8250000000000006e-01,1.0873969839900008e+00,1.0890412371428666e+00
8.8500000000000001e-01,1.0875098765738933e+00,1.0891543004316533e+00
8.8750000000000007e-01,1.0876227691577860e+00,1.0892673637204400e+00
8.9000000000000001e-01,1.0877312974232201e+00,1.0893760560914816e+00
8.9250000000000007e-01,1.0878343702905808e+00,1.0894792848153416e+00
8.9500000000000002e-01,1.0879374431579416e+00,1.0895825135392014e+00
8.9749999999999996e-01,1.0880405160253024e+00,1.0896857422630615e+00
9.0000000000000002e-01,1.0881414953591826e+00,1.0897868742878085e+00
9.0249999999999997e-01,1.0882346762808468e+00,1.0898801961083593e+00
9.0500000000000003e-01,1.0883278572025112e+00,1.0899735179289101e+00
9.0749999999999997e-01,1.0884210381241757e+00,1.0900668397494611e+00
9.1000000000000003e-01,1.0885142190458401e+00,1.0901601615700121e+00
9.1249999999999998e-01,1.0885971046343865e+00,1.0902431724898700e+00
9.1500000000000004e-01,1.0886797676211359e+00,1.0903259604713349e+00
9.1749999999999998e-01,1.0887624306078854e+00,1.0904087484527998e+00
9.2000000000000004e-01,1.0888450935946348e+00,1.0904915364342647e+00
9.2249999999999999e-01,1.0889196473674696e+00,1.0905662029398713e+00
9.2500000000000004e-01,1.0889914405568439e+00,1.0906381046877387e+00
9.2749999999999999e-01,1.0890632337462187e+00,1.0907100064356066e+00
9.3000000000000005e-01,1.0891350269355931e+00,1.0907819081834740e+00
9.3250000000000000e-01,1.0892016703900822e+00,1.0908486524095413e+00
9.3500000000000005e-01,1.0892634295599377e+00,1.0909105049654475e+00
9.3750000000000000e-01,1.0893251887297930e+00,1.0909723575213532e+00
9.4000000000000006e-01,1.0893869478996485e+00,1.0910342100772594e+00
9.4250000000000000e-01,1.0894459144208983e+00,1.0910932657617953e+00
9.4500000000000006e-01,1.0894977149004434e+00,1.0911451445688540e+00
9.4750000000000001e-01,1.0895495153799888e+00,1.0911970233759127e+00
9.5000000000000007e-01,1.0896013158595341e+00,1.0912489021829714e+00
9.5250000000000001e-01,1.0896526210080850e+00,1.0913002849100455e+00
9.5500000000000007e-01,1.0896940195367526e+00,1.0913417460374348e+00
9.5750000000000002e-01,1.0897354180654202e+00,1.0913832071648244e+00
9.5999999999999996e-01,1.0897768165940878e+00,1.0914246682922137e+00
9.6250000000000002e-01,1.0898182151227553e+00,1.0914661294196031e+00
