y_over_delta,u,v,pressure,temp,scalar_1,scalar_2,u_over_ubulk,y_plus,u_plus
2.5750000000000001e-01,9.6681577141878883e-01,-1.5522348499330033e-11,6.2465328273460838e-10,0.0000000000000000e+00,4.3771860268808482e-03,6.9183142870071479e-01,9.6827888406606089e-01,2.8737704504426262e+02,8.6630113794229217e+01
2.6000000000000001e-01,9.6791522168044886e-01,-9.6686951988784758e-12,6.2502937529135645e-10,0.0000000000000000e+00,4.3624863124980167e-03,6.9874521880418494e-01,9.6937999816030462e-01,2.9016711344275063e+02,8.6728628427620990e+01
2.6250000000000001e-01,9.6901467194210889e-01,-3.8150418984269175e-12,6.2540546784810442e-10,0.0000000000000000e+00,4.3477865981151852e-03,7.0565900890765498e-01,9.7048111225454825e-01,2.9295718184123865e+02,8.6827143061012762e+01
2.6500000000000001e-01,9.7010606854531667e-01,-5.4826147301125220e-13,6.2089331628297894e-10,0.0000000000000000e+00,4.3330975319947895e-03,7.1257934728886552e-01,9.7157416050248568e-01,2.9574725023972661e+02,8.6924936058112692e+01
2.6750000000000002e-01,9.7116074994087453e-01,-9.0745779779095993e-12,5.9409652239754915e-10,0.0000000000000000e+00,4.3184570094237287e-03,7.1952953811271636e-01,9.7263043798049720e-01,2.9853731863821457e+02,8.7019439242705715e+01
2.7000000000000002e-01,9.7221543133643229e-01,-1.7600894482807948e-11,5.6729972851211935e-10,0.0000000000000000e+00,4.3038164868526678e-03,7.2647972893656709e-01,9.7368671545850860e-01,3.0132738703670259e+02,8.7113942427298724e+01
2.7250000000000002e-01,9.7327011273199004e-01,-2.6127210987706303e-11,5.4050293462668955e-10,0.0000000000000000e+00,4.2891759642816078e-03,7.3342991976041794e-01,9.7474299293652000e-01,3.0411745543519061e+02,8.7208445611891733e+01
2.7500000000000002e-01,9.7432479412754791e-01,-3.4653527492604645e-11,5.1370614074125976e-10,0.0000000000000000e+00,4.2745354417105478e-03,7.4038011058426867e-01,9.7579927041453152e-01,3.0690752383367857e+02,8.7302948796484756e+01
2.7750000000000002e-01,9.7534103422850871e-01,-3.9036759313926524e-11,4.7083930044489608e-10,0.0000000000000000e+00,4.2599516028533502e-03,7.4736680656445453e-01,9.7681704842352846e-01,3.0969759223216658e+02,8.7394007505073361e+01
2.8000000000000003e-01,9.7635512677111191e-01,-4.3188533890354821e-11,4.2707469219261376e-10,0.0000000000000000e+00,4.2453709306840802e-03,7.5435554193884902e-01,9.7783267562420040e-01,3.1248766063065455e+02,8.7484873784834889e+01
