y_over_delta,y_plus,u_plus
7.6500000000000001e-01,8.5360127588536966e+02,9.6732917204775774e+01
7.6750000000000007e-01,8.5639082253858987e+02,9.6753117095755186e+01
7.7000000000000002e-01,8.5918036919180986e+02,9.6773316986734599e+01
7.7249999999999996e-01,8.6196991584503007e+02,9.6793512213669416e+01
7.7500000000000002e-01,8.6475946249825029e+02,9.6812830600218717e+01
7.7749999999999997e-01,8.6754900915147039e+02,9.6832148986768047e+01
7.8000000000000003e-01,8.7033855580469060e+02,9.6851467373317362e+01
7.8249999999999997e-01,8.7312810245791081e+02,9.6870785759866664e+01
7.8500000000000003e-01,8.7591764911113091e+02,9.6889421586765920e+01
7.8749999999999998e-01,8.7870719576435113e+02,9.6907856385823038e+01
7.9000000000000004e-01,8.8149674241757134e+02,9.6926291184880156e+01
7.9249999999999998e-01,8.8428628907079144e+02,9.6944725983937246e+01
7.9500000000000004e-01,8.8707583572401165e+02,9.6962656435637072e+01
7.9749999999999999e-01,8.8986538237723164e+02,9.6980156708708591e+01
8.0000000000000004e-01,8.9265492903045197e+02,9.6997656981780111e+01
8.0249999999999999e-01,8.9544447568367195e+02,9.7015157254851630e+01
8.0500000000000005e-01,8.9823402233689239e+02,9.7032348433742726e+01
8.0750000000000000e-01,9.0102356899011238e+02,9.7048841486122797e+01
8.1000000000000005e-01,9.0381311564333248e+02,9.7065334538502867e+01
8.1250000000000000e-01,9.0660266229655269e+02,9.7081827590882966e+01
8.1500000000000006e-01,9.0939220894977291e+02,9.7098252502422781e+01
8.1750000000000000e-01,9.1218175560299301e+02,9.7113825653459287e+01
8.2000000000000006e-01,9.1497130225621322e+02,9.7129398804495793e+01
8.2250000000000001e-01,9.1776084890943343e+02,9.7144971955532256e+01
8.2500000000000007e-01,9.2055039556265353e+02,9.7160545106568762e+01
8.2750000000000001e-01,9.2333994221587375e+02,9.7175382511915615e+01
8.3000000000000007e-01,9.2612948886909396e+02,9.7190081097321027e+01
8.3250000000000002e-01,9.2891903552231395e+02,9.7204779682726425e+01
8.3499999999999996e-01,9.3170858217553416e+02,9.7219478268131823e+01
8.3750000000000002e-01,9.3449812882875426e+02,9.7233645413800886e+01
8.3999999999999997e-01,9.3728767548197447e+02,9.7247470589552663e+01
8.4250000000000003e-01,9.4007722213519469e+02,9.7261295765304439e+01
8.4499999999999997e-01,9.4286676878841479e+02,9.7275120941056201e+01
8.4750000000000003e-01,9.4565631544163500e+02,9.7288613565133673e+01
8.4999999999999998e-01,9.4844586209485522e+02,9.7301553497696119e+01
