iter,dt,residual,res_u,res_k,res_w,U_bulk,tau_wall,u_max,k_min,k_max,omega_min,omega_max,nu_t_nu_max
460,1.6105100000000005e-03,1.4559746019736513e-03,5.0748791119040580e-05,1.4559746019736513e-03,7.4373995612294601e-06,1.5131437918347943e+01,1.0518393509552095e+00,1.6875194584277409e+01,1.0000000000000002e-10,3.2561472138844505e+00,1.3841554935518346e+01,3.5909221484351365e+04,9.8415884380514001e+01
470,1.6105100000000005e-03,1.4147312322589100e-03,5.1233242214704059e-05,1.4147312322589100e-03,7.5474144517731581e-06,1.5129661758238615e+01,1.0489535711619040e+00,1.6865901496029927e+01,1.0000000000000002e-10,3.1938459268371289e+00,1.3702168342504766e+01,3.5909221484513138e+04,9.7883425369176464e+01
480,1.6105100000000005e-03,1.3741821207899486e-03,5.1726321424937833e-05,1.3741821207899486e-03,7.6174333220647130e-06,1.5127988270675640e+01,1.0460197858599571e+00,1.6857536694204097e+01,1.0000000000000002e-10,3.1349116084285402e+00,1.3564081416294684e+01,3.5909221484668553e+04,9.7333235005143095e+01
490,1.6105100000000005e-03,1.3340945184460110e-03,5.2177213117023973e-05,1.3340945184460110e-03,7.6475473651551441e-06,1.5126418842854141e+01,1.0430605522406236e+00,1.6850093239473722e+01,1.0000000000000002e-10,3.0797067016921731e+00,1.3427457941650879e+01,3.5909221484926849e+04,9.6785587897488952e+01
500,1.6105100000000005e-03,1.2943815846858430e-03,5.2573113390499199e-05,1.2943815846858430e-03,7.6450874104462099e-06,1.5124954122289816e+01,1.0400945174165996e+00,1.6843388805616996e+01,1.0000000000000002e-10,3.0279473704172011e+00,1.3292439784314130e+01,3.5909221485059912e+04,9.6293317954936427e+01
510,1.6105100000000005e-03,1.2550227123470324e-03,5.2895381291637757e-05,1.2550227123470324e-03,7.6159274136241197e-06,1.5123594065885630e+01,1.0371361732490296e+00,1.6837417209421652e+01,1.0000000000000002e-10,2.9801785962114171e+00,1.3159138997409103e+01,3.5909221484040056e+04,9.5802680598494490e+01
520,1.6105100000000005e-03,1.2160190612481379e-03,5.3130598297177834e-05,1.2160190612481379e-03,7.5643271371049078e-06,1.5122337967106350e+01,1.0341966175629977e+00,1.6832159663216931e+01,1.0000000000000002e-10,2.9408145291973367e+00,1.3027624349233983e+01,3.5909221480798398e+04,9.5323755649544168e+01
530,1.6105100000000005e-03,1.1774216901229530e-03,5.3269295285200169e-05,1.1774216901229530e-03,7.4955506826771151e-06,1.5121184921475999e+01,1.0312851456713477e+00,1.6827578461595685e+01,1.0000000000000002e-10,2.9221112533085893e+00,1.2898003950385348e+01,3.5909221481029905e+04,9.4876377015927275e+01
540,1.6105100000000005e-03,1.1394297119717942e-03,5.3297654582791516e-05,1.1394297119717942e-03,7.4110734048957261e-06,1.5120133868549793e+01,1.0284097492630340e+00,1.6823623325710795e+01,1.0000000000000002e-10,2.9053025898646565e+00,1.2770325672534144e+01,3.5909221481249420e+04,9.4433230366962732e+01
550,1.6105100000000005e-03,1.1023355975244833e-03,5.3220704208989314e-05,1.1023355975244833e-03,7.3107652078830116e-06,1.5119183585586997e+01,1.0255770959621342e+00,1.6820249817368946e+01,1.0000000000000002e-10,2.8896975692456675e+00,1.2644647542751121e+01,3.5909221480931839e+04,9.4010665165488703e+01
560,1.6105100000000005e-03,1.0664175620996388e-03,5.3075253404954730e-05,1.0664175620996388e-03,7.1978956580375027e-06,1.5118332445106562e+01,1.0227924483096933e+00,1.6817423038394164e+01,1.0000000000000002e-10,2.8760317083906779e+00,1.2521028866291697e+01,3.5909221481132568e+04,9.3602308847782524e+01
570,1.6105100000000005e-03,1.0318710776461304e-03,5.2849939861097838e-05,1.0318710776461304e-03,7.0741402583125788e-06,1.5117578711014199e+01,1.0200597719393913e+00,1.6815109970648436e+01,1.0000000000000002e-10,2.8628782677062596e+00,1.2399512090327573e+01,3.5909221481315304e+04,9.3199312148331018e+01
580,1.6105100000000005e-03,9.9881854609850328e-04,5.2553360999137860e-05,9.9881854609850328e-04,6.9438793487394612e-06,1.5116920359860028e+01,1.0173824622772900e+00,1.6813284854653102e+01,1.0000000000000002e-10,2.8506289111820449e+00,1.2280071143473561e+01,3.5909221481485096e+04,9.2796628764373452e+01
590,1.6105100000000005e-03,9.6731977937339548e-04,5.2220995277963701e-05,9.6731977937339548e-04,6.8084250524479345e-06,1.5116355365527721e+01,1.0147630335053914e+00,1.6811932573336705e+01,1.0000000000000002e-10,2.8392788821751864e+00,1.2162647149185574e+01,3.5909221481868342e+04,9.2391588446648598e+01
600,1.6105100000000005e-03,9.3730996112620314e-04,5.1835093239582770e-05,9.3730996112620314e-04,6.6693588729888982e-06,1.5115881667408310e+01,1.0122035882467739e+00,1.6811048439471872e+01,1.0000000000000002e-10,2.8284502415555970e+00,1.2047222209084744e+01,3.5909221482355519e+04,9.1984042621403134e+01
610,1.6105100000000005e-03,9.0852905138515746e-04,5.1402140788331175e-05,9.0852905138515746e-04,6.5273809547260670e-06,1.5115497195551056e+01,1.0097051390172387e+00,1.6810644457361281e+01,1.0000000000000002e-10,2.8179135822056374e+00,1.1933825962932858e+01,3.5909221484520480e+04,9.1574581743138694e+01
620,1.6105100000000005e-03,8.8057310587323992e-04,5.0933118374396482e-05,8.8057310587323992e-04,6.3836625277962132e-06,1.5115199775259152e+01,1.0072679050593445e+00,1.6810741996575668e+01,1.0000000000000002e-10,2.8079251040472828e+00,1.1822483168485350e+01,3.5909221484635120e+04,9.1163751917571204e+01
630,1.6105100000000005e-03,8.5306247899101680e-04,5.0437995464368026e-05,8.5306247899101680e-04,6.2400668662611297e-06,1.5114987162531518e+01,1.0048918251485413e+00,1.6811362245946757e+01,1.0000000000000002e-10,2.7984186801925186e+00,1.1713188634944176e+01,3.5909221484783462e+04,9.0650752377209997e+01
640,1.6105100000000005e-03,8.2580540240990074e-04,4.9901384985147408e-05,8.2580540240990074e-04,6.0970377794516729e-06,1.5114857157276719e+01,1.0025767343215886e+00,1.6812508575862164e+01,1.0000000000000002e-10,2.7897847869994337e+00,1.1605928420778314e+01,3.5909221484919042e+04,9.0000584501692174e+01
650,1.6105100000000005e-03,7.9883626534785201e-04,4.9330108665379372e-05,7.9883626534785201e-04,5.9544252333091125e-06,1.5114807680130900e+01,1.0003223467438322e+00,1.6814159694416286e+01,1.0000000000000002e-10,2.7814314618530909e+00,1.1500683747879526e+01,3.5909221485044174e+04,8.9270818887943378e+01
660,1.6105100000000005e-03,7.7235115608047787e-04,4.8736024606848760e-05,7.7235115608047787e-04,5.8119560999078089e-06,1.5114836598996233e+01,9.9812812367199022e-01,1.6816277159216977e+01,1.0000000000000002e-10,2.7733006343398041e+00,1.1397433482815650e+01,3.5909221485135902e+04,8.8513708066454271e+01
670,1.6105100000000005e-03,7.4661560208398418e-04,4.8114614306764474e-05,7.4661560208398418e-04,5.6709092742018333e-06,1.5114941839441608e+01,9.9599325409057493e-01,1.6818809837213539e+01,1.0000000000000002e-10,2.7658149751079777e+00,1.1296154891217668e+01,3.5909221485243426e+04,8.8075675812346361e+01
680,1.6105100000000005e-03,7.2189112033129235e-04,4.7480731671844747e-05,7.2189112033129235e-04,5.5311888570279955e-06,1.5115121192028917e+01,9.9391670728843107e-01,1.6821696600530696e+01,1.0000000000000002e-10,2.7585184286934981e+00,1.1196823228004327e+01,3.5909221485347429e+04,8.8128078756288673e+01
690,1.6105100000000005e-03,6.9836125203280044e-04,4.6822153038377618e-05,6.9836125203280044e-04,5.3928428374953107e-06,1.5115372469298197e+01,9.9189743250431794e-01,1.6824871595493246e+01,1.0000000000000002e-10,2.7515737493378793e+00,1.1099412297937249e+01,3.5909221485445385e+04,8.8060037131473891e+01
700,1.6105100000000005e-03,6.7606498805737451e-04,4.6140669155562018e-05,6.7606498805737451e-04,5.2554946672265620e-06,1.5115693704399321e+01,9.8993448952138574e-01,1.6828271128683941e+01,1.0000000000000002e-10,2.7449382975930141e+00,1.1003895370036531e+01,3.5909221485537637e+04,8.7840700404981988e+01
710,1.6105100000000005e-03,6.5487711212146782e-04,4.5447189634148052e-05,6.5487711212146782e-04,5.1197294794614155e-06,1.5116083020077243e+01,9.8802704936121089e-01,1.6831844750025187e+01,1.0000000000000002e-10,2.7387542585823166e+00,1.0910244601077554e+01,3.5909221485624352e+04,8.7469241362643174e+01
720,1.6105100000000005e-03,6.3455403879474667e-04,4.4738452373900239e-05,6.3455403879474667e-04,4.9860266170319735e-06,1.5116538458961715e+01,9.8617383047469964e-01,1.6835556427603077e+01,1.0000000000000002e-10,2.7327850177281308e+00,1.0818431272316726e+01,3.5909221485705588e+04,8.7064441383766209e+01
730,1.6105100000000005e-03,6.1483217149896038e-04,4.4022377437836553e-05,6.1483217149896038e-04,4.8536310355397349e-06,1.5117058170639654e+01,9.8437370477856934e-01,1.6839382127641034e+01,1.0000000000000002e-10,2.7269484579058099e+00,1.0728427133729028e+01,3.5909221485781367e+04,8.6663722678291805e+01
740,1.6105100000000005e-03,5.9550283364916883e-04,4.3296104291115952e-05,5.9550283364916883e-04,4.7231137473291499e-06,1.5117640307972811e+01,9.8262583918589119e-01,1.6843304300263846e+01,1.0000000000000002e-10,2.7215045520239580e+00,1.0640206214732434e+01,3.5909221485851718e+04,8.6265216658387516e+01
750,1.6105100000000005e-03,5.7645084611287415e-04,4.2562586563354139e-05,5.7645084611287415e-04,4.5945223722770112e-06,1.5118283120661404e+01,9.8092913477481480e-01,1.6847407544157157e+01,1.0000000000000002e-10,2.7162298338410609e+00,1.0553737764932553e+01,3.5909221485914808e+04,8.5869015961904680e+01
760,1.6105100000000005e-03,5.5765872470434801e-04,4.1815067744048962e-05,5.5765872470434801e-04,4.4675113333318729e-06,1.5118984958757535e+01,9.7928232537223969e-01,1.6851612058521550e+01,1.0000000000000002e-10,2.7113653792698709e+00,1.0468971079756098e+01,3.5909221485284535e+04,8.5475276356739755e+01
770,1.6105100000000005e-03,5.3919708978408386e-04,4.1074478939875776e-05,5.3919708978408386e-04,4.3435732259811852e-06,1.5119744020796821e+01,9.7768443273036310e-01,1.6855883656359346e+01,1.0000000000000002e-10,2.7066193458139973e+00,1.0385909285926257e+01,3.5909221485362876e+04,8.5084154539864514e+01
780,1.6105100000000005e-03,5.2119225256506388e-04,4.0334325054079231e-05,5.2119225256506388e-04,4.2224335224365411e-06,1.5120558423668413e+01,9.7613422131302152e-01,1.6860220390019329e+01,1.0000000000000002e-10,2.7019760040088281e+00,1.0304510132149010e+01,3.5909221485433787e+04,8.4695789130261858e+01
790,1.6105100000000005e-03,5.0379151229460644e-04,3.9607344244351261e-05,5.0379151229460644e-04,4.1037722118363625e-06,1.5121426306398915e+01,9.7463066083364136e-01,1.6864619962687495e+01,1.0000000000000002e-10,2.6975013676150552e+00,1.0224746251572292e+01,3.5909221485497590e+04,8.4310303129895019e+01
800,1.6105100000000005e-03,4.8710578301776320e-04,3.8873323297671307e-05,4.8710578301776320e-04,3.9881655035549676e-06,1.5122346209128375e+01,9.7317258611873181e-01,1.6869078474567516e+01,1.0000000000000002e-10,2.6932618775867709e+00,1.0146593779560629e+01,3.5909221485554670e+04,8.3927812376889833e+01
